name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url
IIT Delhi,North,New Delhi,Delhi,IIT (Central Govt - Autonomous),1961,2,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://home.iitd.ac.in,https://www.shiksha.com/university/iit-delhi-new-delhi-11086
IIT Jodhpur,North,Jodhpur,Rajasthan,IIT (Central Govt - Autonomous),2008,19,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitj.ac.in,https://www.shiksha.com/university/iit-jodhpur-jodhpur-21743
IIT Kanpur,North,Kanpur,Uttar Pradesh,IIT (Central Govt - Autonomous),1959,4,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitk.ac.in,https://www.shiksha.com/university/iit-kanpur-kanpur-11087
IIT Roorkee,North,Roorkee,Uttarakhand,IIT (Central Govt - Autonomous),1847,6,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitr.ac.in,https://www.shiksha.com/university/iit-roorkee-roorkee-11090
IIT Ropar,North,Rupnagar,Punjab,IIT (Central Govt - Autonomous),2008,22,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitrpr.ac.in,https://www.shiksha.com/university/iit-ropar-rupnagar-21745
IIT Varanasi (BHU),North,Varanasi,Uttar Pradesh,IIT (Central Govt - Autonomous),1919,10,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitbhu.ac.in,https://www.shiksha.com/university/iit-bhu-varanasi-varanasi-11092
IIT Mandi,North,Mandi,Himachal Pradesh,IIT (Central Govt - Autonomous),2009,30,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitmandi.ac.in,https://www.shiksha.com/university/iit-mandi-mandi-21746
IIT Jammu,North,Jammu,Jammu and Kashmir,IIT (Central Govt - Autonomous),2016,50,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitjammu.ac.in,https://www.shiksha.com/university/iit-jammu-jammu-118777
IIT Dharwad,South,Dharwad,Karnataka,IIT (Central Govt - Autonomous),2016,47,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitdh.ac.in,https://www.shiksha.com/university/iit-dharwad-dharwad-118778
IIT Hyderabad,South,Hyderabad,Telangana,IIT (Central Govt - Autonomous),2008,8,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iith.ac.in,https://www.shiksha.com/university/iit-hyderabad-hyderabad-21742
IIT Madras,South,Chennai,Tamil Nadu,IIT (Central Govt - Autonomous),1959,1,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitm.ac.in,https://www.shiksha.com/university/iit-madras-chennai-11088
