college_name_standardized,short_name,region,city,state,type,established,nirf_ranking,degrees_offered,streams_offered,website,shiksha_url,linkedin_url
Indian Institute of Technology Delhi,IIT Delhi,North,New Delhi,Delhi,IIT (Central Govt - Autonomous),1961,2,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://home.iitd.ac.in,https://www.shiksha.com/university/iit-delhi-new-delhi-11086,https://www.linkedin.com/school/iitdelhi/
Indian Institute of Technology Jodhpur,IIT Jodhpur,North,Jodhpur,Rajasthan,IIT (Central Govt - Autonomous),2008,19,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitj.ac.in,https://www.shiksha.com/university/iit-jodhpur-jodhpur-21743,https://in.linkedin.com/school/iitjodhpur/
Indian Institute of Technology Kanpur,IIT Kanpur,North,Kanpur,Uttar Pradesh,IIT (Central Govt - Autonomous),1959,4,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitk.ac.in,https://www.shiksha.com/university/iit-kanpur-kanpur-11087,https://in.linkedin.com/school/indian-institute-of-technology-kanpur/
Indian Institute of Technology Roorkee,IIT Roorkee,North,Roorkee,Uttarakhand,IIT (Central Govt - Autonomous),1847,6,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitr.ac.in,https://www.shiksha.com/university/iit-roorkee-roorkee-11090,https://in.linkedin.com/school/indian-institute-of-technology-roorkee/
Indian Institute of Technology Ropar,IIT Ropar,North,Rupnagar,Punjab,IIT (Central Govt - Autonomous),2008,22,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitrpr.ac.in,https://www.shiksha.com/university/iit-ropar-rupnagar-21745,https://www.linkedin.com/school/iitropar/
Indian Institute of Technology (BHU) Varanasi,IIT Varanasi (BHU),North,Varanasi,Uttar Pradesh,IIT (Central Govt - Autonomous),1919,10,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitbhu.ac.in,https://www.shiksha.com/university/iit-bhu-varanasi-varanasi-11092,https://in.linkedin.com/school/iit-bhu-varanasi/
Indian Institute of Technology Mandi,IIT Mandi,North,Mandi,Himachal Pradesh,IIT (Central Govt - Autonomous),2009,30,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitmandi.ac.in,https://www.shiksha.com/university/iit-mandi-mandi-21746,https://in.linkedin.com/school/iit-mandi/
Indian Institute of Technology Jammu,IIT Jammu,North,Jammu,Jammu and Kashmir,IIT (Central Govt - Autonomous),2016,50,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitjammu.ac.in,https://www.shiksha.com/university/iit-jammu-jammu-118777,https://in.linkedin.com/school/iit-jammu/
Indian Institute of Technology Dharwad,IIT Dharwad,South,Dharwad,Karnataka,IIT (Central Govt - Autonomous),2016,47,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitdh.ac.in,https://www.shiksha.com/university/iit-dharwad-dharwad-118778,https://in.linkedin.com/school/iit-dharwad/
Indian Institute of Technology Hyderabad,IIT Hyderabad,South,Hyderabad,Telangana,IIT (Central Govt - Autonomous),2008,8,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iith.ac.in,https://www.shiksha.com/university/iit-hyderabad-hyderabad-21742,https://in.linkedin.com/school/iit-hyderabad/
Indian Institute of Technology Madras,IIT Madras,South,Chennai,Tamil Nadu,IIT (Central Govt - Autonomous),1959,1,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitm.ac.in,https://www.shiksha.com/university/iit-madras-chennai-11088,https://in.linkedin.com/school/reachiitm/
Indian Institute of Technology Palakkad,IIT Palakkad,South,Palakkad,Kerala,IIT (Central Govt - Autonomous),2015,40,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://iitpkd.ac.in,https://www.shiksha.com/university/iit-palakkad-palakkad-79338,https://in.linkedin.com/school/iit-palakkad/
Indian Institute of Technology Tirupati,IIT Tirupati,South,Tirupati,Andhra Pradesh,IIT (Central Govt - Autonomous),2015,37,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iittp.ac.in,https://www.shiksha.com/university/iit-tirupati-tirupati-79337,https://in.linkedin.com/school/iit-tirupati/
Indian Institute of Technology Bhubaneswar,IIT Bhubaneswar,East,Bhubaneswar,Odisha,IIT (Central Govt - Autonomous),2008,24,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitbbs.ac.in,https://www.shiksha.com/university/iit-bhubaneswar-bhubaneswar-21739,https://in.linkedin.com/school/iit-bhubaneswar/
Indian Institute of Technology (ISM) Dhanbad,IIT Chhattisgarh (ISM Dhanbad),East,Dhanbad,Jharkhand,IIT (Central Govt - Autonomous),1926,15,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitism.ac.in,https://www.shiksha.com/university/iit-ism-dhanbad-dhanbad-11093,https://in.linkedin.com/school/iit-ism-dhanbad/
Indian Institute of Technology Kharagpur,IIT Kharagpur,East,Kharagpur,West Bengal,IIT (Central Govt - Autonomous),1951,5,B.Tech | M.Tech | Ph.D | MBA | M.Sc | B.Des | M.Des,Computer Science | Information Technology | Electrical Engineering | Mechanical Engineering | Civil Engineering | Chemical Engineering | Aerospace Engineering | Biotechnology | Data Science | Artificial Intelligence | Machine Learning | Robotics | Materials Science | Naval Architecture | Metallurgical Engineering | Mining Engineering | Industrial Engineering | Environmental Engineering,https://www.iitkgp.ac.in,https://www.shiksha.com/university/iit-kharagpur-kharagpur-11089,https://in.linkedin.com/school/indian-institute-of-technology-kharagpur/
